,suicide_country,suicide_year,sex,age,suicides_no,population,suicides/100k pop,gdp_for_year ($),gdp_per_capita ($),Generation,WHR2018Chapter2OnlineData_country,WHR2018Chapter2OnlineData_year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate).1
6340,Thailand,2010,female,55-74 years,164,4724470,3.47,3.41E+11,5707,Silent,Thailand,2010,6.216702937999999,9.509449005,0.897651255,65.02689362,0.8596364259999999,0.526286066,0.9166933890000001,0.9012679459999999,0.18152317399999998,0.683404207,-0.969305158,-0.04427252,1.7180379630000002,0.276358396,0.40263636399999997
6341,Thailand,2010,female,35-54 years,345,10369541,3.33,3.41E+11,5707,Generation X,Thailand,2010,6.216702937999999,9.509449005,0.897651255,65.02689362,0.8596364259999999,0.526286066,0.9166933890000001,0.9012679459999999,0.18152317399999998,0.683404207,-0.969305158,-0.04427252,1.7180379630000002,0.276358396,0.40263636399999997
6342,Thailand,2010,female,25-34 years,164,5237458,3.13,3.41E+11,5707,Generation X,Thailand,2010,6.216702937999999,9.509449005,0.897651255,65.02689362,0.8596364259999999,0.526286066,0.9166933890000001,0.9012679459999999,0.18152317399999998,0.683404207,-0.969305158,-0.04427252,1.7180379630000002,0.276358396,0.40263636399999997
6343,Thailand,2010,female,15-24 years,120,4702548,2.55,3.41E+11,5707,Millenials,Thailand,2010,6.216702937999999,9.509449005,0.897651255,65.02689362,0.8596364259999999,0.526286066,0.9166933890000001,0.9012679459999999,0.18152317399999998,0.683404207,-0.969305158,-0.04427252,1.7180379630000002,0.276358396,0.40263636399999997
6344,Thailand,2010,male,5-14 years,16,4496770,0.36,3.41E+11,5707,Generation Z,Thailand,2010,6.216702937999999,9.509449005,0.897651255,65.02689362,0.8596364259999999,0.526286066,0.9166933890000001,0.9012679459999999,0.18152317399999998,0.683404207,-0.969305158,-0.04427252,1.7180379630000002,0.276358396,0.40263636399999997
6345,Thailand,2010,female,5-14 years,14,4244226,0.33,3.41E+11,5707,Generation Z,Thailand,2010,6.216702937999999,9.509449005,0.897651255,65.02689362,0.8596364259999999,0.526286066,0.9166933890000001,0.9012679459999999,0.18152317399999998,0.683404207,-0.969305158,-0.04427252,1.7180379630000002,0.276358396,0.40263636399999997
6346,Thailand,2011,male,25-34 years,782,5237957,14.93,3.71E+11,6153,Millenials,Thailand,2011,6.663609028,9.513044357,0.884350836,65.26730347,0.92688185,0.390435398,0.923195601,0.9343736770000001,0.11667592800000001,0.539867997,-0.7693576809999999,-0.029972352,1.8071444030000001,0.27119603800000003,0.40263636399999997
6347,Thailand,2011,male,75+ years,112,827970,13.53,3.71E+11,6153,Silent,Thailand,2011,6.663609028,9.513044357,0.884350836,65.26730347,0.92688185,0.390435398,0.923195601,0.9343736770000001,0.11667592800000001,0.539867997,-0.7693576809999999,-0.029972352,1.8071444030000001,0.27119603800000003,0.40263636399999997
6348,Thailand,2011,male,35-54 years,1227,9897542,12.4,3.71E+11,6153,Generation X,Thailand,2011,6.663609028,9.513044357,0.884350836,65.26730347,0.92688185,0.390435398,0.923195601,0.9343736770000001,0.11667592800000001,0.539867997,-0.7693576809999999,-0.029972352,1.8071444030000001,0.27119603800000003,0.40263636399999997
6349,Thailand,2011,male,55-74 years,488,4266668,11.44,3.71E+11,6153,Boomers,Thailand,2011,6.663609028,9.513044357,0.884350836,65.26730347,0.92688185,0.390435398,0.923195601,0.9343736770000001,0.11667592800000001,0.539867997,-0.7693576809999999,-0.029972352,1.8071444030000001,0.27119603800000003,0.40263636399999997
6350,Thailand,2011,male,15-24 years,357,4929387,7.24,3.71E+11,6153,Millenials,Thailand,2011,6.663609028,9.513044357,0.884350836,65.26730347,0.92688185,0.390435398,0.923195601,0.9343736770000001,0.11667592800000001,0.539867997,-0.7693576809999999,-0.029972352,1.8071444030000001,0.27119603800000003,0.40263636399999997
6351,Thailand,2011,female,75+ years,56,1205643,4.64,3.71E+11,6153,Silent,Thailand,2011,6.663609028,9.513044357,0.884350836,65.26730347,0.92688185,0.390435398,0.923195601,0.9343736770000001,0.11667592800000001,0.539867997,-0.7693576809999999,-0.029972352,1.8071444030000001,0.27119603800000003,0.40263636399999997
6352,Thailand,2011,female,55-74 years,217,4948016,4.39,3.71E+11,6153,Boomers,Thailand,2011,6.663609028,9.513044357,0.884350836,65.26730347,0.92688185,0.390435398,0.923195601,0.9343736770000001,0.11667592800000001,0.539867997,-0.7693576809999999,-0.029972352,1.8071444030000001,0.27119603800000003,0.40263636399999997
6353,Thailand,2011,female,35-54 years,361,10474832,3.45,3.71E+11,6153,Generation X,Thailand,2011,6.663609028,9.513044357,0.884350836,65.26730347,0.92688185,0.390435398,0.923195601,0.9343736770000001,0.11667592800000001,0.539867997,-0.7693576809999999,-0.029972352,1.8071444030000001,0.27119603800000003,0.40263636399999997
6354,Thailand,2011,female,25-34 years,147,5172436,2.84,3.71E+11,6153,Millenials,Thailand,2011,6.663609028,9.513044357,0.884350836,65.26730347,0.92688185,0.390435398,0.923195601,0.9343736770000001,0.11667592800000001,0.539867997,-0.7693576809999999,-0.029972352,1.8071444030000001,0.27119603800000003,0.40263636399999997
6355,Thailand,2011,female,15-24 years,95,4723611,2.01,3.71E+11,6153,Millenials,Thailand,2011,6.663609028,9.513044357,0.884350836,65.26730347,0.92688185,0.390435398,0.923195601,0.9343736770000001,0.11667592800000001,0.539867997,-0.7693576809999999,-0.029972352,1.8071444030000001,0.27119603800000003,0.40263636399999997
6356,Thailand,2011,male,5-14 years,19,4413405,0.43,3.71E+11,6153,Generation Z,Thailand,2011,6.663609028,9.513044357,0.884350836,65.26730347,0.92688185,0.390435398,0.923195601,0.9343736770000001,0.11667592800000001,0.539867997,-0.7693576809999999,-0.029972352,1.8071444030000001,0.27119603800000003,0.40263636399999997
6357,Thailand,2011,female,5-14 years,12,4164365,0.29,3.71E+11,6153,Generation Z,Thailand,2011,6.663609028,9.513044357,0.884350836,65.26730347,0.92688185,0.390435398,0.923195601,0.9343736770000001,0.11667592800000001,0.539867997,-0.7693576809999999,-0.029972352,1.8071444030000001,0.27119603800000003,0.40263636399999997
6358,Thailand,2012,male,75+ years,136,869252,15.65,3.98E+11,6584,Silent,Thailand,2012,6.300235271,9.578333855,0.906098127,65.48678589,0.8469328279999999,0.36973446600000004,0.908612072,0.8545439840000001,0.137503058,0.702815235,-0.7688859109999999,-0.012249041,1.761228085,0.279549569,0.40263636399999997
6359,Thailand,2012,male,25-34 years,721,5121552,14.08,3.98E+11,6584,Millenials,Thailand,2012,6.300235271,9.578333855,0.906098127,65.48678589,0.8469328279999999,0.36973446600000004,0.908612072,0.8545439840000001,0.137503058,0.702815235,-0.7688859109999999,-0.012249041,1.761228085,0.279549569,0.40263636399999997
6360,Thailand,2012,male,55-74 years,581,4433963,13.1,3.98E+11,6584,Boomers,Thailand,2012,6.300235271,9.578333855,0.906098127,65.48678589,0.8469328279999999,0.36973446600000004,0.908612072,0.8545439840000001,0.137503058,0.702815235,-0.7688859109999999,-0.012249041,1.761228085,0.279549569,0.40263636399999997
6361,Thailand,2012,male,35-54 years,1234,9949264,12.4,3.98E+11,6584,Generation X,Thailand,2012,6.300235271,9.578333855,0.906098127,65.48678589,0.8469328279999999,0.36973446600000004,0.908612072,0.8545439840000001,0.137503058,0.702815235,-0.7688859109999999,-0.012249041,1.761228085,0.279549569,0.40263636399999997
6362,Thailand,2012,male,15-24 years,369,4938617,7.47,3.98E+11,6584,Millenials,Thailand,2012,6.300235271,9.578333855,0.906098127,65.48678589,0.8469328279999999,0.36973446600000004,0.908612072,0.8545439840000001,0.137503058,0.702815235,-0.7688859109999999,-0.012249041,1.761228085,0.279549569,0.40263636399999997
6363,Thailand,2012,female,55-74 years,222,5145957,4.31,3.98E+11,6584,Boomers,Thailand,2012,6.300235271,9.578333855,0.906098127,65.48678589,0.8469328279999999,0.36973446600000004,0.908612072,0.8545439840000001,0.137503058,0.702815235,-0.7688859109999999,-0.012249041,1.761228085,0.279549569,0.40263636399999997
6364,Thailand,2012,female,75+ years,54,1265466,4.27,3.98E+11,6584,Silent,Thailand,2012,6.300235271,9.578333855,0.906098127,65.48678589,0.8469328279999999,0.36973446600000004,0.908612072,0.8545439840000001,0.137503058,0.702815235,-0.7688859109999999,-0.012249041,1.761228085,0.279549569,0.40263636399999997
6365,Thailand,2012,female,35-54 years,394,10521850,3.74,3.98E+11,6584,Generation X,Thailand,2012,6.300235271,9.578333855,0.906098127,65.48678589,0.8469328279999999,0.36973446600000004,0.908612072,0.8545439840000001,0.137503058,0.702815235,-0.7688859109999999,-0.012249041,1.761228085,0.279549569,0.40263636399999997
6366,Thailand,2012,female,25-34 years,162,5050719,3.21,3.98E+11,6584,Millenials,Thailand,2012,6.300235271,9.578333855,0.906098127,65.48678589,0.8469328279999999,0.36973446600000004,0.908612072,0.8545439840000001,0.137503058,0.702815235,-0.7688859109999999,-0.012249041,1.761228085,0.279549569,0.40263636399999997
6367,Thailand,2012,female,15-24 years,84,4728702,1.78,3.98E+11,6584,Millenials,Thailand,2012,6.300235271,9.578333855,0.906098127,65.48678589,0.8469328279999999,0.36973446600000004,0.908612072,0.8545439840000001,0.137503058,0.702815235,-0.7688859109999999,-0.012249041,1.761228085,0.279549569,0.40263636399999997
6368,Thailand,2012,female,5-14 years,14,4056666,0.35,3.98E+11,6584,Generation Z,Thailand,2012,6.300235271,9.578333855,0.906098127,65.48678589,0.8469328279999999,0.36973446600000004,0.908612072,0.8545439840000001,0.137503058,0.702815235,-0.7688859109999999,-0.012249041,1.761228085,0.279549569,0.40263636399999997
6369,Thailand,2012,male,5-14 years,14,4300247,0.33,3.98E+11,6584,Generation Z,Thailand,2012,6.300235271,9.578333855,0.906098127,65.48678589,0.8469328279999999,0.36973446600000004,0.908612072,0.8545439840000001,0.137503058,0.702815235,-0.7688859109999999,-0.012249041,1.761228085,0.279549569,0.40263636399999997
6370,Thailand,2013,male,75+ years,152,937427,16.21,4.20E+11,6917,Silent,Thailand,2013,6.231024742000001,9.600893021000001,0.926377833,65.68994141,0.781081975,0.445923597,0.9254300590000001,0.845980763,0.140830517,0.506152332,-0.87080425,0.002603438,1.5691437719999999,0.251827568,0.40263636399999997
6371,Thailand,2013,male,25-34 years,706,5038432,14.01,4.20E+11,6917,Millenials,Thailand,2013,6.231024742000001,9.600893021000001,0.926377833,65.68994141,0.781081975,0.445923597,0.9254300590000001,0.845980763,0.140830517,0.506152332,-0.87080425,0.002603438,1.5691437719999999,0.251827568,0.40263636399999997
6372,Thailand,2013,male,35-54 years,1313,10032499,13.09,4.20E+11,6917,Generation X,Thailand,2013,6.231024742000001,9.600893021000001,0.926377833,65.68994141,0.781081975,0.445923597,0.9254300590000001,0.845980763,0.140830517,0.506152332,-0.87080425,0.002603438,1.5691437719999999,0.251827568,0.40263636399999997
6373,Thailand,2013,male,55-74 years,586,4596763,12.75,4.20E+11,6917,Boomers,Thailand,2013,6.231024742000001,9.600893021000001,0.926377833,65.68994141,0.781081975,0.445923597,0.9254300590000001,0.845980763,0.140830517,0.506152332,-0.87080425,0.002603438,1.5691437719999999,0.251827568,0.40263636399999997
6374,Thailand,2013,male,15-24 years,331,4956860,6.68,4.20E+11,6917,Millenials,Thailand,2013,6.231024742000001,9.600893021000001,0.926377833,65.68994141,0.781081975,0.445923597,0.9254300590000001,0.845980763,0.140830517,0.506152332,-0.87080425,0.002603438,1.5691437719999999,0.251827568,0.40263636399999997
6375,Thailand,2013,female,75+ years,64,1362800,4.7,4.20E+11,6917,Silent,Thailand,2013,6.231024742000001,9.600893021000001,0.926377833,65.68994141,0.781081975,0.445923597,0.9254300590000001,0.845980763,0.140830517,0.506152332,-0.87080425,0.002603438,1.5691437719999999,0.251827568,0.40263636399999997
6376,Thailand,2013,female,35-54 years,382,10594744,3.61,4.20E+11,6917,Generation X,Thailand,2013,6.231024742000001,9.600893021000001,0.926377833,65.68994141,0.781081975,0.445923597,0.9254300590000001,0.845980763,0.140830517,0.506152332,-0.87080425,0.002603438,1.5691437719999999,0.251827568,0.40263636399999997
6377,Thailand,2013,female,55-74 years,190,5336311,3.56,4.20E+11,6917,Boomers,Thailand,2013,6.231024742000001,9.600893021000001,0.926377833,65.68994141,0.781081975,0.445923597,0.9254300590000001,0.845980763,0.140830517,0.506152332,-0.87080425,0.002603438,1.5691437719999999,0.251827568,0.40263636399999997
6378,Thailand,2013,female,25-34 years,126,4960889,2.54,4.20E+11,6917,Millenials,Thailand,2013,6.231024742000001,9.600893021000001,0.926377833,65.68994141,0.781081975,0.445923597,0.9254300590000001,0.845980763,0.140830517,0.506152332,-0.87080425,0.002603438,1.5691437719999999,0.251827568,0.40263636399999997
6379,Thailand,2013,female,15-24 years,88,4741021,1.86,4.20E+11,6917,Millenials,Thailand,2013,6.231024742000001,9.600893021000001,0.926377833,65.68994141,0.781081975,0.445923597,0.9254300590000001,0.845980763,0.140830517,0.506152332,-0.87080425,0.002603438,1.5691437719999999,0.251827568,0.40263636399999997
6380,Thailand,2013,male,5-14 years,17,4224575,0.4,4.20E+11,6917,Generation Z,Thailand,2013,6.231024742000001,9.600893021000001,0.926377833,65.68994141,0.781081975,0.445923597,0.9254300590000001,0.845980763,0.140830517,0.506152332,-0.87080425,0.002603438,1.5691437719999999,0.251827568,0.40263636399999997
6381,Thailand,2013,female,5-14 years,6,3984166,0.15,4.20E+11,6917,Generation Z,Thailand,2013,6.231024742000001,9.600893021000001,0.926377833,65.68994141,0.781081975,0.445923597,0.9254300590000001,0.845980763,0.140830517,0.506152332,-0.87080425,0.002603438,1.5691437719999999,0.251827568,0.40263636399999997
6382,Thailand,2014,male,25-34 years,682,4969108,13.72,4.07E+11,6662,Millenials,Thailand,2014,6.985463619,9.605988502999999,0.9331673979999999,65.88036346,0.899846315,0.54221499,0.919834435,0.811369598,0.16873844,0.7203049659999999,-0.8905844690000001,-0.0076066219999999995,2.000872374,0.28643372699999997,0.40263636399999997
6383,Thailand,2014,male,75+ years,137,1005485,13.63,4.07E+11,6662,Silent,Thailand,2014,6.985463619,9.605988502999999,0.9331673979999999,65.88036346,0.899846315,0.54221499,0.919834435,0.811369598,0.16873844,0.7203049659999999,-0.8905844690000001,-0.0076066219999999995,2.000872374,0.28643372699999997,0.40263636399999997
6384,Thailand,2014,male,55-74 years,632,4771792,13.24,4.07E+11,6662,Boomers,Thailand,2014,6.985463619,9.605988502999999,0.9331673979999999,65.88036346,0.899846315,0.54221499,0.919834435,0.811369598,0.16873844,0.7203049659999999,-0.8905844690000001,-0.0076066219999999995,2.000872374,0.28643372699999997,0.40263636399999997
6385,Thailand,2014,male,35-54 years,1274,10095367,12.62,4.07E+11,6662,Generation X,Thailand,2014,6.985463619,9.605988502999999,0.9331673979999999,65.88036346,0.899846315,0.54221499,0.919834435,0.811369598,0.16873844,0.7203049659999999,-0.8905844690000001,-0.0076066219999999995,2.000872374,0.28643372699999997,0.40263636399999997
6386,Thailand,2014,male,15-24 years,337,4935213,6.83,4.07E+11,6662,Millenials,Thailand,2014,6.985463619,9.605988502999999,0.9331673979999999,65.88036346,0.899846315,0.54221499,0.919834435,0.811369598,0.16873844,0.7203049659999999,-0.8905844690000001,-0.0076066219999999995,2.000872374,0.28643372699999997,0.40263636399999997
6387,Thailand,2014,female,75+ years,71,1458962,4.87,4.07E+11,6662,Silent,Thailand,2014,6.985463619,9.605988502999999,0.9331673979999999,65.88036346,0.899846315,0.54221499,0.919834435,0.811369598,0.16873844,0.7203049659999999,-0.8905844690000001,-0.0076066219999999995,2.000872374,0.28643372699999997,0.40263636399999997
6388,Thailand,2014,female,55-74 years,240,5539928,4.33,4.07E+11,6662,Boomers,Thailand,2014,6.985463619,9.605988502999999,0.9331673979999999,65.88036346,0.899846315,0.54221499,0.919834435,0.811369598,0.16873844,0.7203049659999999,-0.8905844690000001,-0.0076066219999999995,2.000872374,0.28643372699999997,0.40263636399999997
6389,Thailand,2014,female,35-54 years,388,10644118,3.65,4.07E+11,6662,Generation X,Thailand,2014,6.985463619,9.605988502999999,0.9331673979999999,65.88036346,0.899846315,0.54221499,0.919834435,0.811369598,0.16873844,0.7203049659999999,-0.8905844690000001,-0.0076066219999999995,2.000872374,0.28643372699999997,0.40263636399999997
6390,Thailand,2014,female,25-34 years,116,4883263,2.38,4.07E+11,6662,Millenials,Thailand,2014,6.985463619,9.605988502999999,0.9331673979999999,65.88036346,0.899846315,0.54221499,0.919834435,0.811369598,0.16873844,0.7203049659999999,-0.8905844690000001,-0.0076066219999999995,2.000872374,0.28643372699999997,0.40263636399999997
6391,Thailand,2014,female,15-24 years,49,4717317,1.04,4.07E+11,6662,Millenials,Thailand,2014,6.985463619,9.605988502999999,0.9331673979999999,65.88036346,0.899846315,0.54221499,0.919834435,0.811369598,0.16873844,0.7203049659999999,-0.8905844690000001,-0.0076066219999999995,2.000872374,0.28643372699999997,0.40263636399999997
6392,Thailand,2014,female,5-14 years,14,3940160,0.36,4.07E+11,6662,Generation Z,Thailand,2014,6.985463619,9.605988502999999,0.9331673979999999,65.88036346,0.899846315,0.54221499,0.919834435,0.811369598,0.16873844,0.7203049659999999,-0.8905844690000001,-0.0076066219999999995,2.000872374,0.28643372699999997,0.40263636399999997
6393,Thailand,2014,male,5-14 years,12,4179206,0.29,4.07E+11,6662,Generation Z,Thailand,2014,6.985463619,9.605988502999999,0.9331673979999999,65.88036346,0.899846315,0.54221499,0.919834435,0.811369598,0.16873844,0.7203049659999999,-0.8905844690000001,-0.0076066219999999995,2.000872374,0.28643372699999997,0.40263636399999997
6394,Thailand,2015,male,75+ years,174,1068139,16.29,4.01E+11,6552,Silent,Thailand,2015,6.201762676,9.631463051,0.866324544,66.05983734,0.8849165440000001,0.305584073,0.913651109,0.91049695,0.174081355,0.657713354,-0.981742799,0.00030103,1.7779293059999999,0.286681294,0.40263636399999997
6395,Thailand,2015,male,35-54 years,1482,10101149,14.67,4.01E+11,6552,Generation X,Thailand,2015,6.201762676,9.631463051,0.866324544,66.05983734,0.8849165440000001,0.305584073,0.913651109,0.91049695,0.174081355,0.657713354,-0.981742799,0.00030103,1.7779293059999999,0.286681294,0.40263636399999997
6396,Thailand,2015,male,55-74 years,718,4990958,14.39,4.01E+11,6552,Boomers,Thailand,2015,6.201762676,9.631463051,0.866324544,66.05983734,0.8849165440000001,0.305584073,0.913651109,0.91049695,0.174081355,0.657713354,-0.981742799,0.00030103,1.7779293059999999,0.286681294,0.40263636399999997
6397,Thailand,2015,male,25-34 years,663,4873464,13.6,4.01E+11,6552,Millenials,Thailand,2015,6.201762676,9.631463051,0.866324544,66.05983734,0.8849165440000001,0.305584073,0.913651109,0.91049695,0.174081355,0.657713354,-0.981742799,0.00030103,1.7779293059999999,0.286681294,0.40263636399999997
6398,Thailand,2015,male,15-24 years,317,4847684,6.54,4.01E+11,6552,Millenials,Thailand,2015,6.201762676,9.631463051,0.866324544,66.05983734,0.8849165440000001,0.305584073,0.913651109,0.91049695,0.174081355,0.657713354,-0.981742799,0.00030103,1.7779293059999999,0.286681294,0.40263636399999997
6399,Thailand,2015,female,55-74 years,248,5795996,4.28,4.01E+11,6552,Boomers,Thailand,2015,6.201762676,9.631463051,0.866324544,66.05983734,0.8849165440000001,0.305584073,0.913651109,0.91049695,0.174081355,0.657713354,-0.981742799,0.00030103,1.7779293059999999,0.286681294,0.40263636399999997
6400,Thailand,2015,female,75+ years,63,1527522,4.12,4.01E+11,6552,Silent,Thailand,2015,6.201762676,9.631463051,0.866324544,66.05983734,0.8849165440000001,0.305584073,0.913651109,0.91049695,0.174081355,0.657713354,-0.981742799,0.00030103,1.7779293059999999,0.286681294,0.40263636399999997
6401,Thailand,2015,female,35-54 years,363,10646859,3.41,4.01E+11,6552,Generation X,Thailand,2015,6.201762676,9.631463051,0.866324544,66.05983734,0.8849165440000001,0.305584073,0.913651109,0.91049695,0.174081355,0.657713354,-0.981742799,0.00030103,1.7779293059999999,0.286681294,0.40263636399999997
6402,Thailand,2015,female,25-34 years,96,4783703,2.01,4.01E+11,6552,Millenials,Thailand,2015,6.201762676,9.631463051,0.866324544,66.05983734,0.8849165440000001,0.305584073,0.913651109,0.91049695,0.174081355,0.657713354,-0.981742799,0.00030103,1.7779293059999999,0.286681294,0.40263636399999997
6403,Thailand,2015,female,15-24 years,55,4632371,1.19,4.01E+11,6552,Millenials,Thailand,2015,6.201762676,9.631463051,0.866324544,66.05983734,0.8849165440000001,0.305584073,0.913651109,0.91049695,0.174081355,0.657713354,-0.981742799,0.00030103,1.7779293059999999,0.286681294,0.40263636399999997
6404,Thailand,2015,female,5-14 years,14,3881727,0.36,4.01E+11,6552,Generation Z,Thailand,2015,6.201762676,9.631463051,0.866324544,66.05983734,0.8849165440000001,0.305584073,0.913651109,0.91049695,0.174081355,0.657713354,-0.981742799,0.00030103,1.7779293059999999,0.286681294,0.40263636399999997
6405,Thailand,2015,male,5-14 years,12,4111704,0.29,4.01E+11,6552,Generation Z,Thailand,2015,6.201762676,9.631463051,0.866324544,66.05983734,0.8849165440000001,0.305584073,0.913651109,0.91049695,0.174081355,0.657713354,-0.981742799,0.00030103,1.7779293059999999,0.286681294,0.40263636399999997
6406,Thailand,2016,male,55-74 years,734,5203957,14.1,4.12E+11,6713,Boomers,Thailand,2016,6.07363987,9.660334587000001,0.9075436590000001,66.23931885,0.9241456990000001,0.34525889200000004,0.8779783840000001,0.8347583409999999,0.217879668,0.645925045,-1.015279174,0.028222356,2.232674599,0.367600769,0.40263636399999997
6407,Thailand,2016,male,35-54 years,1421,10084647,14.09,4.12E+11,6713,Generation X,Thailand,2016,6.07363987,9.660334587000001,0.9075436590000001,66.23931885,0.9241456990000001,0.34525889200000004,0.8779783840000001,0.8347583409999999,0.217879668,0.645925045,-1.015279174,0.028222356,2.232674599,0.367600769,0.40263636399999997
6408,Thailand,2016,male,75+ years,152,1124052,13.52,4.12E+11,6713,Silent,Thailand,2016,6.07363987,9.660334587000001,0.9075436590000001,66.23931885,0.9241456990000001,0.34525889200000004,0.8779783840000001,0.8347583409999999,0.217879668,0.645925045,-1.015279174,0.028222356,2.232674599,0.367600769,0.40263636399999997
6409,Thailand,2016,male,25-34 years,646,4796355,13.47,4.12E+11,6713,Millenials,Thailand,2016,6.07363987,9.660334587000001,0.9075436590000001,66.23931885,0.9241456990000001,0.34525889200000004,0.8779783840000001,0.8347583409999999,0.217879668,0.645925045,-1.015279174,0.028222356,2.232674599,0.367600769,0.40263636399999997
6410,Thailand,2016,male,15-24 years,322,4736305,6.8,4.12E+11,6713,Millenials,Thailand,2016,6.07363987,9.660334587000001,0.9075436590000001,66.23931885,0.9241456990000001,0.34525889200000004,0.8779783840000001,0.8347583409999999,0.217879668,0.645925045,-1.015279174,0.028222356,2.232674599,0.367600769,0.40263636399999997
6411,Thailand,2016,female,75+ years,69,1589015,4.34,4.12E+11,6713,Silent,Thailand,2016,6.07363987,9.660334587000001,0.9075436590000001,66.23931885,0.9241456990000001,0.34525889200000004,0.8779783840000001,0.8347583409999999,0.217879668,0.645925045,-1.015279174,0.028222356,2.232674599,0.367600769,0.40263636399999997
6412,Thailand,2016,female,55-74 years,222,6049756,3.67,4.12E+11,6713,Boomers,Thailand,2016,6.07363987,9.660334587000001,0.9075436590000001,66.23931885,0.9241456990000001,0.34525889200000004,0.8779783840000001,0.8347583409999999,0.217879668,0.645925045,-1.015279174,0.028222356,2.232674599,0.367600769,0.40263636399999997
6413,Thailand,2016,female,35-54 years,375,10629684,3.53,4.12E+11,6713,Generation X,Thailand,2016,6.07363987,9.660334587000001,0.9075436590000001,66.23931885,0.9241456990000001,0.34525889200000004,0.8779783840000001,0.8347583409999999,0.217879668,0.645925045,-1.015279174,0.028222356,2.232674599,0.367600769,0.40263636399999997
6414,Thailand,2016,female,25-34 years,116,4702656,2.47,4.12E+11,6713,Millenials,Thailand,2016,6.07363987,9.660334587000001,0.9075436590000001,66.23931885,0.9241456990000001,0.34525889200000004,0.8779783840000001,0.8347583409999999,0.217879668,0.645925045,-1.015279174,0.028222356,2.232674599,0.367600769,0.40263636399999997
6415,Thailand,2016,female,15-24 years,60,4525574,1.33,4.12E+11,6713,Millenials,Thailand,2016,6.07363987,9.660334587000001,0.9075436590000001,66.23931885,0.9241456990000001,0.34525889200000004,0.8779783840000001,0.8347583409999999,0.217879668,0.645925045,-1.015279174,0.028222356,2.232674599,0.367600769,0.40263636399999997
6464,Turkey,2010,male,75+ years,63,841083,7.49,7.72E+11,11525,Silent,Turkey,2010,5.490347385,9.795861244,0.794905484,64.21484375,0.514920354,-0.19555001,0.810895741,0.651792586,0.327065974,0.545994282,-0.500053108,0.18338789,2.0405538080000003,0.37166205,0.403076923
6465,Turkey,2010,male,35-54 years,397,9318882,4.26,7.72E+11,11525,Generation X,Turkey,2010,5.490347385,9.795861244,0.794905484,64.21484375,0.514920354,-0.19555001,0.810895741,0.651792586,0.327065974,0.545994282,-0.500053108,0.18338789,2.0405538080000003,0.37166205,0.403076923
6466,Turkey,2010,male,55-74 years,175,4131848,4.24,7.72E+11,11525,Silent,Turkey,2010,5.490347385,9.795861244,0.794905484,64.21484375,0.514920354,-0.19555001,0.810895741,0.651792586,0.327065974,0.545994282,-0.500053108,0.18338789,2.0405538080000003,0.37166205,0.403076923
6467,Turkey,2010,male,25-34 years,248,6363299,3.9,7.72E+11,11525,Generation X,Turkey,2010,5.490347385,9.795861244,0.794905484,64.21484375,0.514920354,-0.19555001,0.810895741,0.651792586,0.327065974,0.545994282,-0.500053108,0.18338789,2.0405538080000003,0.37166205,0.403076923
6468,Turkey,2010,male,15-24 years,238,6411111,3.71,7.72E+11,11525,Millenials,Turkey,2010,5.490347385,9.795861244,0.794905484,64.21484375,0.514920354,-0.19555001,0.810895741,0.651792586,0.327065974,0.545994282,-0.500053108,0.18338789,2.0405538080000003,0.37166205,0.403076923
6469,Turkey,2010,female,75+ years,28,1226764,2.28,7.72E+11,11525,Silent,Turkey,2010,5.490347385,9.795861244,0.794905484,64.21484375,0.514920354,-0.19555001,0.810895741,0.651792586,0.327065974,0.545994282,-0.500053108,0.18338789,2.0405538080000003,0.37166205,0.403076923
6470,Turkey,2010,female,15-24 years,95,6118805,1.55,7.72E+11,11525,Millenials,Turkey,2010,5.490347385,9.795861244,0.794905484,64.21484375,0.514920354,-0.19555001,0.810895741,0.651792586,0.327065974,0.545994282,-0.500053108,0.18338789,2.0405538080000003,0.37166205,0.403076923
6471,Turkey,2010,female,55-74 years,57,4537405,1.26,7.72E+11,11525,Silent,Turkey,2010,5.490347385,9.795861244,0.794905484,64.21484375,0.514920354,-0.19555001,0.810895741,0.651792586,0.327065974,0.545994282,-0.500053108,0.18338789,2.0405538080000003,0.37166205,0.403076923
6472,Turkey,2010,female,35-54 years,110,9153406,1.2,7.72E+11,11525,Generation X,Turkey,2010,5.490347385,9.795861244,0.794905484,64.21484375,0.514920354,-0.19555001,0.810895741,0.651792586,0.327065974,0.545994282,-0.500053108,0.18338789,2.0405538080000003,0.37166205,0.403076923
6473,Turkey,2010,female,25-34 years,61,6170592,0.99,7.72E+11,11525,Generation X,Turkey,2010,5.490347385,9.795861244,0.794905484,64.21484375,0.514920354,-0.19555001,0.810895741,0.651792586,0.327065974,0.545994282,-0.500053108,0.18338789,2.0405538080000003,0.37166205,0.403076923
6474,Turkey,2010,male,5-14 years,27,6519482,0.41,7.72E+11,11525,Generation Z,Turkey,2010,5.490347385,9.795861244,0.794905484,64.21484375,0.514920354,-0.19555001,0.810895741,0.651792586,0.327065974,0.545994282,-0.500053108,0.18338789,2.0405538080000003,0.37166205,0.403076923
